"SER
NO","DIST
CODE",DISTRICT_NAME,"EA
CODE",EA_NAME,"SCTY
CODE",SCOUNTY_NAME,"PAR
CODE",PARISH NAME,"PS
CODE",PS NAME,"NO OF
FEMALES",NO OF MALES,,"EC VOTER
COUNTS",ANALYZED VOTER COUNT
7545,14,KAPCHORWA,076,TINGEY COUNTY,15,CHEPTERECH,30,CHEPTERECH,01,CHEPTERECH ROCK,149,135,,285,284
7546,14,KAPCHORWA,076,TINGEY COUNTY,15,CHEPTERECH,82,KAPSOYOY,01,"KAPSOYOY P.A.G
CHURCH",132,111,,246,243
7547,14,KAPCHORWA,076,TINGEY COUNTY,15,CHEPTERECH,83,CHESOYEN,01,"GAMOGO PRIMARY
SCHOOL",108,103,,212,211
7548,14,KAPCHORWA,076,TINGEY COUNTY,15,CHEPTERECH,84,ROROK,01,KITAWA GABRIEL,122,127,,249,249
7549,14,KAPCHORWA,283,"KAPCHORWA
MUNICIPALITY",01,CENTRAL DIVISION,01,BARAWA WARD,01,TESTIMONY PRI. SCH.,392,360,,754,752
7550,14,KAPCHORWA,283,"KAPCHORWA
MUNICIPALITY",01,CENTRAL DIVISION,02,KAWOWO WARD,01,GOVT LODGE,191,201,,392,392
7551,14,KAPCHORWA,283,"KAPCHORWA
MUNICIPALITY",01,CENTRAL DIVISION,02,KAWOWO WARD,02,"KAPCHORWA
COMMUNITY YARD",339,249,,590,588
7552,14,KAPCHORWA,283,"KAPCHORWA
MUNICIPALITY",01,CENTRAL DIVISION,02,KAWOWO WARD,03,"LONDON BRIDGE
CORNER",315,184,,499,499
7553,14,KAPCHORWA,283,"KAPCHORWA
MUNICIPALITY",01,CENTRAL DIVISION,03,"KOKWOMURYA
WARD",01,KAPCHORWA P.T.C,232,183,,416,415
7554,14,KAPCHORWA,283,"KAPCHORWA
MUNICIPALITY",01,CENTRAL DIVISION,49,CHEMONGES WARD,01,"ELGON PRIMARY
SCHOOL",62,52,,114,114
7555,14,KAPCHORWA,283,"KAPCHORWA
MUNICIPALITY",01,CENTRAL DIVISION,49,CHEMONGES WARD,02,CHEMONGES SQUARE,461,360,,821,821
7556,14,KAPCHORWA,283,"KAPCHORWA
MUNICIPALITY",01,CENTRAL DIVISION,50,CHEPSIKUROI WARD,01,UEB GROUNDS,228,164,,393,392
7557,14,KAPCHORWA,283,"KAPCHORWA
MUNICIPALITY",01,CENTRAL DIVISION,50,CHEPSIKUROI WARD,02,BOMA GROUND,129,126,,255,255
7558,14,KAPCHORWA,283,"KAPCHORWA
MUNICIPALITY",01,CENTRAL DIVISION,50,CHEPSIKUROI WARD,03,ENVIRONMENTAL YARD,297,224,,522,521
7559,14,KAPCHORWA,283,"KAPCHORWA
MUNICIPALITY",01,CENTRAL DIVISION,63,KAPSINDA WARD,01,KUPILAT,199,199,,399,398
7560,14,KAPCHORWA,283,"KAPCHORWA
MUNICIPALITY",02,EAST DIVISION,04,"KAPCHESOMBE
WARD",01,"KAPCHSOMBE PRIMARY
SCHOOL",272,266,,538,538
"SER
NO","DIST
CODE",DISTRICT_NAME,"EA
CODE",EA_NAME,"SCTY
CODE",SCOUNTY_NAME,"PAR
CODE",PARISH NAME,"PS
CODE",PS NAME,"NO OF
FEMALES",NO OF MALES,,"VOTER
COUNTS", 
7561,14,KAPCHORWA,283,"KAPCHORWA
MUNICIPALITY",02,EAST DIVISION,04,"KAPCHESOMBE
WARD",02,SESWA,145,134,,281,279
7562,14,KAPCHORWA,283,"KAPCHORWA
MUNICIPALITY",02,EAST DIVISION,05,KIRWOKO WARD,01,KAMUKES PRI. SCH,269,240,,510,509
7563,14,KAPCHORWA,283,"KAPCHORWA
MUNICIPALITY",02,EAST DIVISION,05,KIRWOKO WARD,02,NGAIMBIRIR P/S,79,73,,152,152
7564,14,KAPCHORWA,283,"KAPCHORWA
MUNICIPALITY",02,EAST DIVISION,05,KIRWOKO WARD,03,KIRWOKO MOSQUE,75,66,,141,141
7565,14,KAPCHORWA,283,"KAPCHORWA
MUNICIPALITY",02,EAST DIVISION,06,KWOTI WARD,01,KWOTI PRI SCH,217,221,,440,438
7566,14,KAPCHORWA,283,"KAPCHORWA
MUNICIPALITY",02,EAST DIVISION,56,KAPCHESIY WARD,01,"KAPCHESIY WATER
TANK",236,249,,486,485
7567,14,KAPCHORWA,283,"KAPCHORWA
MUNICIPALITY",02,EAST DIVISION,56,KAPCHESIY WARD,02,"CHEBUKAT IMANI
RADIO",138,135,,274,273
7568,14,KAPCHORWA,283,"KAPCHORWA
MUNICIPALITY",02,EAST DIVISION,59,KAPLAK WARD,01,KAPLAK,287,272,,562,559
7569,14,KAPCHORWA,283,"KAPCHORWA
MUNICIPALITY",02,EAST DIVISION,59,KAPLAK WARD,02,ATAR,51,56,,107,107
7570,14,KAPCHORWA,283,"KAPCHORWA
MUNICIPALITY",02,EAST DIVISION,69,KWEEN WARD,01,KWOTI HEALTH CENTRE,110,118,,228,228
7571,14,KAPCHORWA,283,"KAPCHORWA
MUNICIPALITY",02,EAST DIVISION,69,KWEEN WARD,02,"CHEMOTE OPEN
GROUND",138,133,,272,271
7572,14,KAPCHORWA,283,"KAPCHORWA
MUNICIPALITY",02,EAST DIVISION,74,SIRON WARD,01,"SIRON PRIIMARY
SCHOOL",224,240,,465,464
7573,14,KAPCHORWA,283,"KAPCHORWA
MUNICIPALITY",02,EAST DIVISION,74,SIRON WARD,02,"KASHABUL PRIMARY
SCHOOL",282,254,,538,536
7574,14,KAPCHORWA,283,"KAPCHORWA
MUNICIPALITY",02,EAST DIVISION,77,TERYET WARD,01,KWONO,69,71,,140,140
7575,14,KAPCHORWA,283,"KAPCHORWA
MUNICIPALITY",02,EAST DIVISION,77,TERYET WARD,02,"TERYET PRIMARY
SCHOOL",97,113,,211,210
7576,14,KAPCHORWA,283,"KAPCHORWA
MUNICIPALITY",03,WEST DIVISION,24,KABAT WARD,01,"KABAT PRIMARY
SCHOOL",257,243,,501,500
7577,14,KAPCHORWA,283,"KAPCHORWA
MUNICIPALITY",03,WEST DIVISION,24,KABAT WARD,02,NAGURU T/C,263,235,,498,498
7578,14,KAPCHORWA,283,"KAPCHORWA
MUNICIPALITY",03,WEST DIVISION,25,KAPTERET WARD,01,BURKOYEN,176,173,,350,349
7579,14,KAPCHORWA,283,"KAPCHORWA
MUNICIPALITY",03,WEST DIVISION,25,KAPTERET WARD,02,"KAPTERET PRIMARY
SCHOOL",298,295,,597,593
7580,14,KAPCHORWA,283,"KAPCHORWA
MUNICIPALITY",03,WEST DIVISION,26,TEGERES WARD,01,KAMINY PRI. SCH,258,236,,496,494
"SER
NO","DIST
CODE",DISTRICT_NAME,"EA
CODE",EA_NAME,"SCTY
CODE",SCOUNTY_NAME,"PAR
CODE",PARISH NAME,"PS
CODE",PS NAME,"NO OF
FEMALES",NO OF MALES,,"VOTER
COUNTS", 
7581,14,KAPCHORWA,283,"KAPCHORWA
MUNICIPALITY",03,WEST DIVISION,26,TEGERES WARD,02,"CHEPTILYAI TRADING
CENTRE",215,210,,425,425
7582,14,KAPCHORWA,283,"KAPCHORWA
MUNICIPALITY",03,WEST DIVISION,27,TUBAN WARD,01,"HEKIMA PRIMARY
SCHOOL",271,253,,524,524
7583,14,KAPCHORWA,283,"KAPCHORWA
MUNICIPALITY",03,WEST DIVISION,34,KAPENGURIA WARD,01,"KAPENGURIA PRIMARY
SCHOOL",231,205,,440,436
7584,14,KAPCHORWA,283,"KAPCHORWA
MUNICIPALITY",03,WEST DIVISION,35,KUTUNG WARD,01,KUTUNG PRI SCH,270,242,,516,512
7585,14,KAPCHORWA,283,"KAPCHORWA
MUNICIPALITY",03,WEST DIVISION,35,KUTUNG WARD,02,BUSAL GROUNDS,189,185,,375,374
7586,14,KAPCHORWA,283,"KAPCHORWA
MUNICIPALITY",03,WEST DIVISION,37,KAPLELKO WARD,01,KAPLELKO,157,128,,286,285
7587,14,KAPCHORWA,283,"KAPCHORWA
MUNICIPALITY",03,WEST DIVISION,37,KAPLELKO WARD,02,"ST MONICA CATHOLIC
CHURCH",138,135,,273,273
7588,14,KAPCHORWA,283,"KAPCHORWA
MUNICIPALITY",03,WEST DIVISION,43,BASAR WARD,01,GREENLAND PRI. SCH.,257,237,,495,494
7589,14,KAPCHORWA,283,"KAPCHORWA
MUNICIPALITY",03,WEST DIVISION,43,BASAR WARD,02,BASAR BODY OF CHRIST,128,120,,249,248
7590,14,KAPCHORWA,283,"KAPCHORWA
MUNICIPALITY",03,WEST DIVISION,57,KAPKWINGI WARD,01,SISITYA,293,290,,586,583
7591,14,KAPCHORWA,283,"KAPCHORWA
MUNICIPALITY",03,WEST DIVISION,61,KAPNYIKEW WARD,01,"KAPNYIKEW PRIMARY
SCHOOL",266,238,,505,504
7592,14,KAPCHORWA,283,"KAPCHORWA
MUNICIPALITY",03,WEST DIVISION,65,KAPTUL WARD,01,"KAPTUL PRIMARY
SCHOOL",313,298,,611,611
7593,14,KAPCHORWA,283,"KAPCHORWA
MUNICIPALITY",03,WEST DIVISION,68,KULULU WARD,01,CHEMUTARE,285,267,,553,552
7594,14,KAPCHORWA,283,"KAPCHORWA
MUNICIPALITY",03,WEST DIVISION,78,TONGWO WARD,01,TUBAN PRI SCH,292,246,,543,538
7595,14,KAPCHORWA,283,"KAPCHORWA
MUNICIPALITY",03,WEST DIVISION,78,TONGWO WARD,02,"KAPCHORWA
STANDARD SCHOOL",221,197,,422,418
7596,15,KASESE,077,"BUKONZO COUNTY
EAST",01,KISINGA,01,KAGANDO,01,"KAGANDO II LCI OFFICE
(A‐L)",266,238,,504,504
7597,15,KASESE,077,"BUKONZO COUNTY
EAST",01,KISINGA,01,KAGANDO,02,"KAGANDO PARISH
HQRS (A‐L)",256,204,,460,460
7598,15,KASESE,077,"BUKONZO COUNTY
EAST",01,KISINGA,01,KAGANDO,03,"KAGANDO II LCI OFFICE
(M‐Z)",243,237,,480,480
7599,15,KASESE,077,"BUKONZO COUNTY
EAST",01,KISINGA,01,KAGANDO,04,"KIBURARA BAPTIST
CHURCH",248,212,,460,460
7600,15,KASESE,077,"BUKONZO COUNTY
EAST",01,KISINGA,01,KAGANDO,05,KIBURARA PR. SCH.[A‐L],369,237,,606,606
"SER
NO","DIST
CODE",DISTRICT_NAME,"EA
CODE",EA_NAME,"SCTY
CODE",SCOUNTY_NAME,"PAR
CODE",PARISH NAME,"PS
CODE",PS NAME,"NO OF
FEMALES",NO OF MALES,,"VOTER
COUNTS", 
7601,15,KASESE,077,"BUKONZO COUNTY
EAST",01,KISINGA,01,KAGANDO,06,KISANGA LCI OFFICE,146,133,,279,279
7602,15,KASESE,077,"BUKONZO COUNTY
EAST",01,KISINGA,01,KAGANDO,07,"NYAMUGASANI PARISH
HQRS.",417,359,,776,776
7603,15,KASESE,077,"BUKONZO COUNTY
EAST",01,KISINGA,01,KAGANDO,08,"KIBURARA PR. SCH.[M‐
Z]",308,234,,542,542
7604,15,KASESE,077,"BUKONZO COUNTY
EAST",01,KISINGA,01,KAGANDO,09,"KAGANDO PARISH
HQRS (M‐Z)",237,230,,467,467
7605,15,KASESE,077,"BUKONZO COUNTY
EAST",01,KISINGA,02,KAJWENGE,01,LHUHWAHWA I,333,259,,592,592
7606,15,KASESE,077,"BUKONZO COUNTY
EAST",01,KISINGA,02,KAJWENGE,02,"KAJWENGE T. C.
MARKET",253,213,,466,466
7607,15,KASESE,077,"BUKONZO COUNTY
EAST",01,KISINGA,02,KAJWENGE,03,"KAMUGHOBE PR
SCHOOL",313,246,,559,559
7608,15,KASESE,077,"BUKONZO COUNTY
EAST",01,KISINGA,02,KAJWENGE,04,"KANYUGHUNYU T/C (A‐
L)",320,258,,578,578
7609,15,KASESE,077,"BUKONZO COUNTY
EAST",01,KISINGA,02,KAJWENGE,05,LHUHWAHWA II,257,238,,495,495
7610,15,KASESE,077,"BUKONZO COUNTY
EAST",01,KISINGA,02,KAJWENGE,06,"KANYUGHUNYU T/C (M‐
Z)",252,259,,511,511
7611,15,KASESE,077,"BUKONZO COUNTY
EAST",01,KISINGA,03,NSENYI,01,BUZIRA PR SCHOOL,424,407,,831,831
7612,15,KASESE,077,"BUKONZO COUNTY
EAST",01,KISINGA,03,NSENYI,03,NSENYI PR. SCHOOL 'A',354,367,,721,721
7613,15,KASESE,077,"BUKONZO COUNTY
EAST",01,KISINGA,03,NSENYI,04,KYAMUGHEMA COU,332,343,,675,675
7614,15,KASESE,077,"BUKONZO COUNTY
EAST",01,KISINGA,03,NSENYI,05,MAKERERE T/CENTRE,333,339,,672,672
7615,15,KASESE,077,"BUKONZO COUNTY
EAST",01,KISINGA,03,NSENYI,06,ST THEREZA SSS,89,106,,195,195
7616,15,KASESE,077,"BUKONZO COUNTY
EAST",01,KISINGA,04,NYABIRONGO,01,"NYABIRONGO
H/CENTRE (A‐L)",289,246,,535,535
7617,15,KASESE,077,"BUKONZO COUNTY
EAST",01,KISINGA,04,NYABIRONGO,02,KAMUGHOBE LCI,387,324,,711,711
7618,15,KASESE,077,"BUKONZO COUNTY
EAST",01,KISINGA,04,NYABIRONGO,03,"BUSYANGWA PRI.
SCHOOL",284,285,,569,569
7619,15,KASESE,077,"BUKONZO COUNTY
EAST",01,KISINGA,04,NYABIRONGO,04,"BUGHEMA S/PARISH
HQRS",440,383,,823,823
7620,15,KASESE,077,"BUKONZO COUNTY
EAST",01,KISINGA,04,NYABIRONGO,05,KISANGANI T/CENTRE,358,301,,659,659
"SER
NO","DIST
CODE",DISTRICT_NAME,"EA
CODE",EA_NAME,"SCTY
CODE",SCOUNTY_NAME,"PAR
CODE",PARISH NAME,"PS
CODE",PS NAME,"NO OF
FEMALES",NO OF MALES,,"VOTER
COUNTS", 
7621,15,KASESE,077,"BUKONZO COUNTY
EAST",01,KISINGA,04,NYABIRONGO,06,KAJWENGE C.O.U (A‐L),350,276,,626,626
7622,15,KASESE,077,"BUKONZO COUNTY
EAST",01,KISINGA,04,NYABIRONGO,07,"NYABIRONGO
H/CENTRE (M‐Z)",240,253,,493,493
7623,15,KASESE,077,"BUKONZO COUNTY
EAST",01,KISINGA,04,NYABIRONGO,08,KAJWENGE C.O.U (M‐Z),299,250,,549,549
7624,15,KASESE,077,"BUKONZO COUNTY
EAST",01,KISINGA,05,RWENGUHYO,01,KASITHU LC HQTRS,277,237,,514,514
7625,15,KASESE,077,"BUKONZO COUNTY
EAST",01,KISINGA,05,RWENGUHYO,02,KINYWANKOKO II C.O.U,150,146,,296,296
7626,15,KASESE,077,"BUKONZO COUNTY
EAST",01,KISINGA,05,RWENGUHYO,03,RWENGUHYO,332,303,,635,635
7627,15,KASESE,077,"BUKONZO COUNTY
EAST",01,KISINGA,29,"KISINGA‐KAGANDO
TOWN BOARD",01,KALERE L.C I OFFICE,219,179,,398,398
7628,15,KASESE,077,"BUKONZO COUNTY
EAST",01,KISINGA,29,"KISINGA‐KAGANDO
TOWN BOARD",02,KISINGA S/C HQTRS,330,269,,599,599
7629,15,KASESE,077,"BUKONZO COUNTY
EAST",01,KISINGA,29,"KISINGA‐KAGANDO
TOWN BOARD",03,KAGANDO HOSPITAL,45,24,,69,69
7630,15,KASESE,077,"BUKONZO COUNTY
EAST",01,KISINGA,29,"KISINGA‐KAGANDO
TOWN BOARD",04,"KISINGA T/C II MARKET
(A‐L)",283,238,,521,521
7631,15,KASESE,077,"BUKONZO COUNTY
EAST",01,KISINGA,29,"KISINGA‐KAGANDO
TOWN BOARD",05,KAGANDO P/S (A‐L),298,212,,510,510
7632,15,KASESE,077,"BUKONZO COUNTY
EAST",01,KISINGA,29,"KISINGA‐KAGANDO
TOWN BOARD",06,KAGANDO P/S (M‐Z),245,223,,468,468
7633,15,KASESE,077,"BUKONZO COUNTY
EAST",01,KISINGA,29,"KISINGA‐KAGANDO
TOWN BOARD",07,"KISINGA T/C II MARKET
(M‐Z)",256,198,,454,454
7634,15,KASESE,077,"BUKONZO COUNTY
EAST",02,KYARUMBA,06,KABIRIZI,01,KANYABUSOGHA T/C,257,233,,490,490
7635,15,KASESE,077,"BUKONZO COUNTY
EAST",02,KYARUMBA,06,KABIRIZI,02,"KINYAMINAGHA
CATHOLIC CHURCH",433,364,,797,797
7636,15,KASESE,077,"BUKONZO COUNTY
EAST",02,KYARUMBA,06,KABIRIZI,03,"ST. JUDE HIGH SCHOOL
(A‐L)",372,251,,624,623
7637,15,KASESE,077,"BUKONZO COUNTY
EAST",02,KYARUMBA,06,KABIRIZI,04,"KILHAMBAIRO
CATHOLIC CHURCH",164,143,,307,307
7638,15,KASESE,077,"BUKONZO COUNTY
EAST",02,KYARUMBA,06,KABIRIZI,05,"KIBISIRE‐KIBWERA
TRADING CENTRE",261,242,,503,503
7639,15,KASESE,077,"BUKONZO COUNTY
EAST",02,KYARUMBA,06,KABIRIZI,06,"ST. JUDE HIGH SCHOOL
(M‐Z)",300,285,,585,585
7640,15,KASESE,077,"BUKONZO COUNTY
EAST",02,KYARUMBA,07,KAGHEMA,01,BWITHO P/SCHOOL,344,298,,642,642
"SER
NO","DIST
CODE",DISTRICT_NAME,"EA
CODE",EA_NAME,"SCTY
CODE",SCOUNTY_NAME,"PAR
CODE",PARISH NAME,"PS
CODE",PS NAME,"NO OF
FEMALES",NO OF MALES,,"VOTER
COUNTS", 
7641,15,KASESE,077,"BUKONZO COUNTY
EAST",02,KYARUMBA,07,KAGHEMA,02,KAGHEMA LCI OFFICE,373,388,,761,761
7642,15,KASESE,077,"BUKONZO COUNTY
EAST",02,KYARUMBA,07,KAGHEMA,03,MUTANYWANA S S S,427,357,,784,784
7643,15,KASESE,077,"BUKONZO COUNTY
EAST",02,KYARUMBA,07,KAGHEMA,04,KABUGHABUHA C.O.U,387,337,,724,724
7644,15,KASESE,077,"BUKONZO COUNTY
EAST",02,KYARUMBA,07,KAGHEMA,05,KINYATSI/KIBAHO T/C,306,308,,614,614
7645,15,KASESE,077,"BUKONZO COUNTY
EAST",02,KYARUMBA,07,KAGHEMA,06,MATHEMBE T/C,263,219,,482,482
7646,15,KASESE,077,"BUKONZO COUNTY
EAST",02,KYARUMBA,08,KALONGE,01,"KAKUNYU PRIMARY
SCHOOL",300,297,,598,597
7647,15,KASESE,077,"BUKONZO COUNTY
EAST",02,KYARUMBA,08,KALONGE,02,KIBIRIGHA,335,323,,658,658
7648,15,KASESE,077,"BUKONZO COUNTY
EAST",02,KYARUMBA,08,KALONGE,03,"KITABONA PRIMARY
SCHOOL",315,309,,624,624
7649,15,KASESE,077,"BUKONZO COUNTY
EAST",02,KYARUMBA,08,KALONGE,04,KATALEBA TC,323,325,,648,648
7650,15,KASESE,077,"BUKONZO COUNTY
EAST",02,KYARUMBA,08,KALONGE,05,"KIBIRIGHA CATHOLIC
CHURCH",355,333,,688,688
7651,15,KASESE,077,"BUKONZO COUNTY
EAST",02,KYARUMBA,08,KALONGE,06,"BUTHALE II CATHOLIC
CHURCH",219,191,,410,410
7652,15,KASESE,077,"BUKONZO COUNTY
EAST",02,KYARUMBA,09,KIHUNGU,01,"KAMATHONDI
CATHOLIC CHURCH",246,222,,468,468
7653,15,KASESE,077,"BUKONZO COUNTY
EAST",02,KYARUMBA,09,KIHUNGU,02,KAYEMBE,272,228,,500,500
7654,15,KASESE,077,"BUKONZO COUNTY
EAST",02,KYARUMBA,09,KIHUNGU,03,"MILHANDU CATHOLIC
CHURCH",331,317,,648,648
7655,15,KASESE,077,"BUKONZO COUNTY
EAST",02,KYARUMBA,09,KIHUNGU,04,"MUGETE PRI. SCHOOL
(A‐L)",264,238,,502,502
7656,15,KASESE,077,"BUKONZO COUNTY
EAST",02,KYARUMBA,09,KIHUNGU,05,KIHUNGU,448,408,,856,856
7657,15,KASESE,077,"BUKONZO COUNTY
EAST",02,KYARUMBA,09,KIHUNGU,06,"KATUMBA TRADING
CENTRE",228,200,,428,428
7658,15,KASESE,077,"BUKONZO COUNTY
EAST",02,KYARUMBA,09,KIHUNGU,07,"MUGETE PRI. SCHOOL
(M‐Z)",210,231,,441,441
7659,15,KASESE,077,"BUKONZO COUNTY
EAST",02,KYARUMBA,10,KITABU,01,"KITABU PRIMARY
SCHOOL 'A'B",434,445,,880,879
7660,15,KASESE,077,"BUKONZO COUNTY
EAST",02,KYARUMBA,10,KITABU,02,NYAKAKINDO  PRI. SCH.,356,327,,683,683
"SER
NO","DIST
CODE",DISTRICT_NAME,"EA
CODE",EA_NAME,"SCTY
CODE",SCOUNTY_NAME,"PAR
CODE",PARISH NAME,"PS
CODE",PS NAME,"NO OF
FEMALES",NO OF MALES,,"VOTER
COUNTS", 
7661,15,KASESE,077,"BUKONZO COUNTY
EAST",02,KYARUMBA,10,KITABU,03,MUGHETE C. O. U.,419,366,,785,785
7662,15,KASESE,077,"BUKONZO COUNTY
EAST",02,KYARUMBA,10,KITABU,04,"MUGHETE TRADING
CENTRE (A‐L)",297,248,,545,545
7663,15,KASESE,077,"BUKONZO COUNTY
EAST",02,KYARUMBA,10,KITABU,05,KALITUSI TC,376,325,,701,701
7664,15,KASESE,077,"BUKONZO COUNTY
EAST",02,KYARUMBA,10,KITABU,06,"MUGHETE TRADING
CENTRE (M‐Z)",248,248,,496,496
7665,15,KASESE,077,"BUKONZO COUNTY
EAST",03,KYONDO,11,BUYAGHA,01,"KINYABISIKI PRIMARY
SCHOOL",435,366,,801,801
7666,15,KASESE,077,"BUKONZO COUNTY
EAST",03,KYONDO,11,BUYAGHA,02,"UNESCO PRIMARY
SCHOOL (A‐L)",292,264,,556,556
7667,15,KASESE,077,"BUKONZO COUNTY
EAST",03,KYONDO,11,BUYAGHA,03,"BUHYOKA PRIMARY
SCHOOL",189,172,,361,361
7668,15,KASESE,077,"BUKONZO COUNTY
EAST",03,KYONDO,11,BUYAGHA,04,"UNESCO PRIMARY
SCHOOL (M‐Z)",244,217,,461,461
7669,15,KASESE,077,"BUKONZO COUNTY
EAST",03,KYONDO,11,BUYAGHA,05,BUYAGHA C.O.U,280,288,,568,568
7670,15,KASESE,077,"BUKONZO COUNTY
EAST",03,KYONDO,12,KANYATSI,01,MUSASA C.O.U,376,337,,713,713
7671,15,KASESE,077,"BUKONZO COUNTY
EAST",03,KYONDO,12,KANYATSI,02,"BWETHE CATHOLIC
CHURCH",387,293,,680,680
7672,15,KASESE,077,"BUKONZO COUNTY
EAST",03,KYONDO,12,KANYATSI,03,"KYAMAKUNGU
T/CENTRE",381,324,,705,705
7673,15,KASESE,077,"BUKONZO COUNTY
EAST",03,KYONDO,12,KANYATSI,04,"KASUNGU CATHOLIC
CHURCH",315,326,,641,641
7674,15,KASESE,077,"BUKONZO COUNTY
EAST",03,KYONDO,12,KANYATSI,05,MUSASA P/SCHOOL,297,279,,576,576
7675,15,KASESE,077,"BUKONZO COUNTY
EAST",03,KYONDO,12,KANYATSI,06,"KAGHORWE HEALTH
CENTRE",242,238,,480,480
7676,15,KASESE,077,"BUKONZO COUNTY
EAST",03,KYONDO,13,KASOKERO,01,KASEMIRE C.O.U,438,360,,798,798
7677,15,KASESE,077,"BUKONZO COUNTY
EAST",03,KYONDO,13,KASOKERO,02,KASOKERO,427,419,,846,846
7678,15,KASESE,077,"BUKONZO COUNTY
EAST",03,KYONDO,13,KASOKERO,03,BULIGHISA,325,290,,615,615
7679,15,KASESE,077,"BUKONZO COUNTY
EAST",03,KYONDO,13,KASOKERO,04,"NEW APOSTOLIC
CHURCH",252,223,,474,475
7680,15,KASESE,077,"BUKONZO COUNTY
EAST",03,KYONDO,24,IBIMBO,01,KAWEMBE,288,282,,570,570
"SER
NO","DIST
CODE",DISTRICT_NAME,"EA
CODE",EA_NAME,"SCTY
CODE",SCOUNTY_NAME,"PAR
CODE",PARISH NAME,"PS
CODE",PS NAME,"NO OF
FEMALES",NO OF MALES,,"VOTER
COUNTS", 
7681,15,KASESE,077,"BUKONZO COUNTY
EAST",03,KYONDO,24,IBIMBO,02,KYONDO T.C,274,240,,514,514
7682,15,KASESE,077,"BUKONZO COUNTY
EAST",03,KYONDO,24,IBIMBO,03,NGOMBE C.O.U,380,362,,742,742
7683,15,KASESE,077,"BUKONZO COUNTY
EAST",03,KYONDO,24,IBIMBO,04,"NGOME PRIMARY
SCHOOL",307,276,,583,583
7684,15,KASESE,077,"BUKONZO COUNTY
EAST",04,MAHANGO,14,KYABWENGE,01,"BUKUMBYA PRIMARY
SCHOOL",337,307,,644,644
7685,15,KASESE,077,"BUKONZO COUNTY
EAST",04,MAHANGO,14,KYABWENGE,02,BUTALIMULI LCI OFFICE,270,268,,538,538
7686,15,KASESE,077,"BUKONZO COUNTY
EAST",04,MAHANGO,14,KYABWENGE,03,"KABURARA Y. M. C. A.
SCHOOL",301,271,,572,572
7687,15,KASESE,077,"BUKONZO COUNTY
EAST",04,MAHANGO,14,KYABWENGE,04,"MBULHAMASI LC I
OFFICE",321,263,,584,584
7688,15,KASESE,077,"BUKONZO COUNTY
EAST",04,MAHANGO,15,LHUHIRI,01,"LHUHIRI PRIMARY
SCHOOL",261,270,,531,531
7689,15,KASESE,077,"BUKONZO COUNTY
EAST",04,MAHANGO,15,LHUHIRI,02,"KABIRITI HEALTH
CENTRE",212,209,,421,421
7690,15,KASESE,077,"BUKONZO COUNTY
EAST",04,MAHANGO,15,LHUHIRI,03,"KYAMUDUMA PRIMARY
SCHOOL",409,353,,762,762
7691,15,KASESE,077,"BUKONZO COUNTY
EAST",04,MAHANGO,15,LHUHIRI,04,"BUHANDIRO PRIMARY
SCHOOL",166,167,,333,333
7692,15,KASESE,077,"BUKONZO COUNTY
EAST",04,MAHANGO,16,MAHANGO,01,"MAHANGO PRIMARY
SCHOOL",337,321,,658,658
7693,15,KASESE,077,"BUKONZO COUNTY
EAST",04,MAHANGO,16,MAHANGO,02,"IGHANZA PRIMARY
SCHOOL",316,260,,576,576
7694,15,KASESE,077,"BUKONZO COUNTY
EAST",04,MAHANGO,16,MAHANGO,03,KYAMBARA LCI OFFICE,243,201,,444,444
7695,15,KASESE,077,"BUKONZO COUNTY
EAST",04,MAHANGO,16,MAHANGO,04,"KAKONE PRIMARY
SCHOOL",210,182,,392,392
7696,15,KASESE,077,"BUKONZO COUNTY
EAST",04,MAHANGO,16,MAHANGO,05,MATERE LC I OFFICES,315,292,,607,607
7697,15,KASESE,077,"BUKONZO COUNTY
EAST",04,MAHANGO,17,NYAMUSULE,01,NYAMISULE P/SCHOOL,222,206,,428,428
7698,15,KASESE,077,"BUKONZO COUNTY
EAST",04,MAHANGO,17,NYAMUSULE,02,BUTHALE P/SCHOOL,260,207,,467,467
7699,15,KASESE,077,"BUKONZO COUNTY
EAST",04,MAHANGO,17,NYAMUSULE,03,"KIBALYA PRIMARY
SCHOOL",288,282,,570,570
7700,15,KASESE,077,"BUKONZO COUNTY
EAST",04,MAHANGO,17,NYAMUSULE,04,"ST. PETERS PRIMARY
SCHOOL",284,270,,554,554
"SER
NO","DIST
CODE",DISTRICT_NAME,"EA
CODE",EA_NAME,"SCTY
CODE",SCOUNTY_NAME,"PAR
CODE",PARISH NAME,"PS
CODE",PS NAME,"NO OF
FEMALES",NO OF MALES,,"VOTER
COUNTS", 
7701,15,KASESE,077,"BUKONZO COUNTY
EAST",04,MAHANGO,17,NYAMUSULE,05,"BURANDIA CATHOLIC
CHURCH",306,224,,530,530
7702,15,KASESE,077,"BUKONZO COUNTY
EAST",05,MUNKUNYU,18,KABINGO,01,KATANDA PR. SCH.,307,261,,568,568
7703,15,KASESE,077,"BUKONZO COUNTY
EAST",05,MUNKUNYU,18,KABINGO,02,KILHAMBAYIRO C. O. U.,490,418,,909,908
7704,15,KASESE,077,"BUKONZO COUNTY
EAST",05,MUNKUNYU,18,KABINGO,03,KABINGO,177,159,,336,336
